id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1159947846596349758,"Next Door, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63864,22.9394,Entire home/apt,68,1,9,2024-12-09,1.23,284,261,9,2416842
1159958195542510478,"Next Door, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63864,22.94048,Entire home/apt,68,1,13,2024-12-23,3.39,284,257,13,2424620
1159963609470259010,"Next Door, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63873,22.93884,Entire home/apt,72,1,3,2024-11-03,0.95,284,261,3,2367739
1159966526035596359,"Next Door, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63702,22.9393,Entire home/apt,,1,24,2024-12-19,3.43,284,252,24,2367803
1159976856697100857,"Next Door, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63718,22.93962,Entire home/apt,72,1,5,2024-12-23,0.72,284,258,5,2367824
1160086575737800640,ELEON Apartment,487633007,Παναγιωτά,,Kalamaria,40.58672019682718,22.95462628888549,Entire home/apt,106,4,5,2024-09-09,0.84,1,0,5,00002647977
1160102153186101813,Sonia's Sweet & Spacious Home,578425120,Androniki,,Thessaloniki,40.6082,22.9586,Entire home/apt,112,1,4,2024-11-24,0.67,1,259,4,00002642191
1160198139970436391,Namaste Boho Loft Near Seaside,358149592,NamasteHomes,,Thessaloniki,40.61608,22.957415,Entire home/apt,146,1,8,2024-08-26,1.12,5,82,8,00002502605
1160237005847881568,Namaste Loft Near Seaside,358149592,NamasteHomes,,Thessaloniki,40.61608,22.957415,Entire home/apt,134,1,8,2024-10-21,1.13,5,83,8,00002502466
1161398599856118106,F & B Collection - Central Gems,31131449,Dimitris,,Thessaloniki,40.6388374,22.9411742,Entire home/apt,119,7,4,2024-09-09,0.68,57,357,4,00002620594
1161419826408707460,F & B Collection - Central Gems,31131449,Dimitris,,Thessaloniki,40.6388374,22.9411742,Entire home/apt,79,7,0,,,57,357,0,00002620728
1161429183416683284,F & B Collection - Central Gems,31131449,Dimitris,,Thessaloniki,40.6388374,22.9411742,Entire home/apt,91,7,2,2024-10-28,0.47,57,361,2,00002620712
1161433420895412756,F & B Collection - Central Gems,31131449,Dimitris,,Thessaloniki,40.6388374,22.9411742,Entire home/apt,,7,3,2024-12-09,0.54,57,359,3,00002620760
1161440902571155762,F & B Collection - Central Gems,31131449,Dimitris,,Thessaloniki,40.6388374,22.9411742,Entire home/apt,82,7,0,,,57,357,0,00002620754
1161445790297682441,F & B Collection - Central Gems,31131449,Dimitris,,Thessaloniki,40.6388374,22.9411742,Entire home/apt,86,7,1,2024-10-28,0.51,57,357,1,00002620775
1162051205639531131,Nice Central Quiet Flat /4p,230378450,Katerina,,Thessaloniki,40.6384226,22.9426129,Entire home/apt,,2,5,2024-11-14,0.84,1,258,5,00002657455
1162085152423252625,Elysium Mediterranean Estate,10654206,Alexandra,,Pilea – Chortiatis,40.58888,23.01085,Entire home/apt,900,5,1,2024-08-27,0.25,28,353,1,00002657864
